Time (ns),Neutrons out(ns^-1),DSR,Tion (keV)
9.635,2.80E+17,0.0135694,15.8933
9.636,2.62E+17,0.0134091,15.895
9.637,2.45E+17,0.0132536,15.8899
9.638,2.29E+17,0.0131028,15.8785
9.639,2.14E+17,0.0129563,15.8615
9.64,1.99E+17,0.012814,15.8392
9.641,1.86E+17,0.0126755,15.8121
9.642,1.73E+17,0.0125406,15.7808
9.643,1.61E+17,0.0124092,15.7457
9.644,1.50E+17,0.0122808,15.7074
9.645,1.39E+17,0.0121553,15.6662
9.646,1.29E+17,0.0120324,15.6228
9.647,1.20E+17,0.011912,15.5776
9.648,1.11E+17,0.0117936,15.5311
9.649,1.03E+17,0.0116771,15.4837
9.65,9.56E+16,0.0115622,15.4361
9.651,8.86E+16,0.0114487,15.3885
9.652,8.21E+16,0.0113366,15.3412
9.653,7.60E+16,0.0112258,15.2939
9.654,7.04E+16,0.0111163,15.2469
9.655,6.53E+16,0.0110081,15.2
9.656,6.06E+16,0.0109011,15.1533
9.657,5.63E+16,0.0107953,15.1067
9.658,5.23E+16,0.0106907,15.0603
9.659,4.87E+16,0.0105872,15.014
9.66,4.54E+16,0.0104849,14.9679
9.661,4.24E+16,0.0103836,14.9219
9.662,3.97E+16,0.0102835,14.876
9.663,3.73E+16,0.0101844,14.8303
9.664,3.50E+16,0.0100863,14.7847
9.665,3.30E+16,0.00998915,14.7392
9.666,3.11E+16,0.009893,14.6939
9.667,2.94E+16,0.00979778,14.6487
9.668,2.79E+16,0.00970347,14.6036
9.669,2.64E+16,0.00961004,14.5586
9.67,2.50E+16,0.00951747,14.5137
9.671,2.37E+16,0.00942571,14.4689
9.672,2.24E+16,0.00933476,14.4242
9.673,2.12E+16,0.00924457,14.3796
9.674,2.00E+16,0.00915513,14.3351
9.675,1.87E+16,0.0090664,14.2907
9.676,1.75E+16,0.00897836,14.2464
9.677,1.64E+16,0.00889097,14.2022
9.678,1.52E+16,0.00880422,14.1581
9.679,1.40E+16,0.00871808,14.114
9.68,1.29E+16,0.00863251,14.07
